time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
14400,2025-10-01 04:00:00,N1_1,R6_8,CAR,0.0
14400,2025-10-01 04:00:00,N1_1,R6_8,TRUCK,0.0
14400,2025-10-01 04:00:00,R7_1,N5_3,CAR,24.0
14400,2025-10-01 04:00:00,R7_1,N5_3,TRUCK,0.0
14700,2025-10-01 04:05:00,N1_1,N5_3,CAR,84.0
14700,2025-10-01 04:05:00,N1_1,N5_3,TRUCK,84.0
14700,2025-10-01 04:05:00,N1_1,R6_8,CAR,24.0
14700,2025-10-01 04:05:00,N1_1,R6_8,TRUCK,12.0
14700,2025-10-01 04:05:00,R7_1,N5_3,CAR,60.0
14700,2025-10-01 04:05:00,R7_1,N5_3,TRUCK,12.0
15000,2025-10-01 04:10:00,N1_1,N5_3,CAR,168.0
15000,2025-10-01 04:10:00,N1_1,N5_3,TRUCK,72.0
15000,2025-10-01 04:10:00,N1_1,R6_8,CAR,12.0
15000,2025-10-01 04:10:00,N1_1,R6_8,TRUCK,0.0
15000,2025-10-01 04:10:00,R7_1,N5_3,CAR,12.0
15000,2025-10-01 04:10:00,R7_1,N5_3,TRUCK,0.0
15300,2025-10-01 04:15:00,N1_1,N5_3,CAR,180.0
15300,2025-10-01 04:15:00,N1_1,N5_3,TRUCK,60.0
15300,2025-10-01 04:15:00,N1_1,R6_8,CAR,12.0
15300,2025-10-01 04:15:00,N1_1,R6_8,TRUCK,0.0
15300,2025-10-01 04:15:00,R7_1,N5_3,CAR,48.0
15300,2025-10-01 04:15:00,R7_1,N5_3,TRUCK,0.0
15600,2025-10-01 04:20:00,N1_1,N5_3,CAR,72.0
15600,2025-10-01 04:20:00,N1_1,N5_3,TRUCK,144.0
15600,2025-10-01 04:20:00,N1_1,R6_8,CAR,12.0
15600,2025-10-01 04:20:00,N1_1,R6_8,TRUCK,12.0
15600,2025-10-01 04:20:00,R7_1,N5_3,CAR,12.0
15600,2025-10-01 04:20:00,R7_1,N5_3,TRUCK,24.0
15900,2025-10-01 04:25:00,N1_1,N5_3,CAR,120.0
15900,2025-10-01 04:25:00,N1_1,N5_3,TRUCK,48.0
15900,2025-10-01 04:25:00,N1_1,R6_8,CAR,24.0
15900,2025-10-01 04:25:00,N1_1,R6_8,TRUCK,12.0
15900,2025-10-01 04:25:00,R7_1,N5_3,CAR,48.0
15900,2025-10-01 04:25:00,R7_1,N5_3,TRUCK,12.0
16200,2025-10-01 04:30:00,N1_1,N5_3,CAR,132.0
16200,2025-10-01 04:30:00,N1_1,N5_3,TRUCK,156.0
16200,2025-10-01 04:30:00,N1_1,R6_8,CAR,12.0
16200,2025-10-01 04:30:00,N1_1,R6_8,TRUCK,12.0
16200,2025-10-01 04:30:00,R7_1,N5_3,CAR,60.0
16200,2025-10-01 04:30:00,R7_1,N5_3,TRUCK,12.0
16500,2025-10-01 04:35:00,N1_1,N5_3,CAR,168.0
16500,2025-10-01 04:35:00,N1_1,N5_3,TRUCK,156.0
16500,2025-10-01 04:35:00,N1_1,R6_8,CAR,48.0
16500,2025-10-01 04:35:00,N1_1,R6_8,TRUCK,0.0
16500,2025-10-01 04:35:00,R7_1,N5_3,CAR,24.0
16500,2025-10-01 04:35:00,R7_1,N5_3,TRUCK,60.0
16800,2025-10-01 04:40:00,N1_1,N5_3,CAR,180.0
16800,2025-10-01 04:40:00,N1_1,N5_3,TRUCK,156.0
16800,2025-10-01 04:40:00,N1_1,R6_8,CAR,24.0
16800,2025-10-01 04:40:00,N1_1,R6_8,TRUCK,0.0
16800,2025-10-01 04:40:00,R7_1,N5_3,CAR,60.0
16800,2025-10-01 04:40:00,R7_1,N5_3,TRUCK,96.0
17100,2025-10-01 04:45:00,N1_1,N5_3,CAR,252.0
17100,2025-10-01 04:45:00,N1_1,N5_3,TRUCK,132.0
17100,2025-10-01 04:45:00,N1_1,R6_8,CAR,72.0
17100,2025-10-01 04:45:00,N1_1,R6_8,TRUCK,0.0
17100,2025-10-01 04:45:00,R7_1,N5_3,CAR,36.0
17100,2025-10-01 04:45:00,R7_1,N5_3,TRUCK,24.0
17400,2025-10-01 04:50:00,N1_1,N5_3,CAR,204.0
17400,2025-10-01 04:50:00,N1_1,N5_3,TRUCK,84.0
17400,2025-10-01 04:50:00,N1_1,R6_8,CAR,36.0
17400,2025-10-01 04:50:00,N1_1,R6_8,TRUCK,0.0
17400,2025-10-01 04:50:00,R7_1,N5_3,CAR,24.0
17400,2025-10-01 04:50:00,R7_1,N5_3,TRUCK,48.0
17700,2025-10-01 04:55:00,N1_1,N5_3,CAR,132.0
17700,2025-10-01 04:55:00,N1_1,N5_3,TRUCK,144.0
17700,2025-10-01 04:55:00,N1_1,R6_8,CAR,48.0
17700,2025-10-01 04:55:00,N1_1,R6_8,TRUCK,12.0
17700,2025-10-01 04:55:00,R7_1,N5_3,CAR,108.0
17700,2025-10-01 04:55:00,R7_1,N5_3,TRUCK,36.0
18000,2025-10-01 05:00:00,N1_1,N5_3,CAR,144.0
18000,2025-10-01 05:00:00,N1_1,N5_3,TRUCK,132.0
18000,2025-10-01 05:00:00,N1_1,R6_8,CAR,36.0
18000,2025-10-01 05:00:00,N1_1,R6_8,TRUCK,0.0
18000,2025-10-01 05:00:00,R7_1,N5_3,CAR,156.0
18000,2025-10-01 05:00:00,R7_1,N5_3,TRUCK,0.0
18300,2025-10-01 05:05:00,N1_1,N5_3,CAR,276.0
18300,2025-10-01 05:05:00,N1_1,N5_3,TRUCK,96.0
18300,2025-10-01 05:05:00,N1_1,R6_8,CAR,48.0
18300,2025-10-01 05:05:00,N1_1,R6_8,TRUCK,0.0
18300,2025-10-01 05:05:00,R7_1,N5_3,CAR,48.0
18300,2025-10-01 05:05:00,R7_1,N5_3,TRUCK,24.0
18600,2025-10-01 05:10:00,N1_1,N5_3,CAR,228.0
